,Municipality,Type[1],County[2],Form of government[1],Population (2020)[2],Total area,,,Year established[3]
66,Colrain,Town,Franklin,Open town meeting,1606,43.4 sq mi ,112.41 km2),,1761
67,Concord,Town,Middlesex,Open town meeting,18491,25.9 sq mi ,67.08 km2),,1635
68,Conway,Town,Franklin,Open town meeting,1761,37.9 sq mi ,98.16 km2),,1775
69,Cummington,Town,Hampshire,Open town meeting,829,23.1 sq mi ,59.83 km2),,1779
70,Dalton,Town,Berkshire,Open town meeting,6330,21.9 sq mi ,56.72 km2),,1784
71,Danvers,Town,Essex,Representative town meeting,28087,14.1 sq mi ,36.52 km2),,1775
72,Dartmouth,Town,Bristol,Representative town meeting,33783,97.5 sq mi ,252.52 km2),,1664
73,Dedham,Town,Norfolk (seat),Representative town meeting,25364,10.6 sq mi ,27.45 km2),,1636
74,Deerfield,Town,Franklin,Open town meeting,5090,33.4 sq mi ,86.51 km2),,1677
75,Dennis,Town,Barnstable,Open town meeting,14674,22.3 sq mi ,57.76 km2),,1793
76,Dighton,Town,Bristol,Open town meeting,8101,22.6 sq mi ,58.53 km2),,1712
77,Douglas,Town,Worcester,Open town meeting,8983,37.7 sq mi ,97.64 km2),,1775
78,Dover,Town,Norfolk,Open town meeting,5923,15.4 sq mi ,39.89 km2),,1836
79,Dracut,Town,Middlesex,Open town meeting,32617,21.4 sq mi ,55.43 km2),,1701
80,Dudley,Town,Worcester,Open town meeting,11921,22.1 sq mi ,57.24 km2),,1732
81,Dunstable,Town,Middlesex,Open town meeting,3358,16.7 sq mi ,43.25 km2),,1673
82,Duxbury,Town,Plymouth,Open town meeting,16090,37.6 sq mi ,97.38 km2),,1637
83,East Bridgewater,Town,Plymouth,Open town meeting,14440,17.5 sq mi ,45.32 km2),,1823
84,East Brookfield,Town,Worcester,Open town meeting,2224,10.4 sq mi ,26.94 km2),,1920
85,East Longmeadow,City,Hampden,Manager-Council,16430,13.0 sq mi ,33.67 km2),,1894
86,Eastham,Town,Barnstable,Open town meeting,5752,25.7 sq mi ,66.56 km2),,1646
87,Easthampton,City,Hampshire,Mayor-Council,16211,13.6 sq mi ,35.22 km2),,1809
88,Easton,Town,Bristol,Open town meeting,25058,29.2 sq mi ,75.63 km2),,1725
89,Edgartown,Town,Dukes (seat),Open town meeting,5168,122.7 sq mi ,317.79 km2),,1671
90,Egremont,Town,Berkshire,Open town meeting,1372,18.9 sq mi ,48.95 km2),,1775
91,Erving,Town,Franklin,Open town meeting,1665,14.4 sq mi ,37.30 km2),,1838
92,Essex,Town,Essex,Open town meeting,3675,15.9 sq mi ,41.18 km2),,1819
93,Everett,City,Middlesex,Mayor-Council,49075,3.7 sq mi ,9.58 km2),,1870
94,Fairhaven,Town,Bristol,Representative town meeting,15924,14.1 sq mi ,36.52 km2),,1812
95,Fall River,City,Bristol,Mayor-Council,94000,40.2 sq mi ,104.12 km2),,1803
96,Falmouth,Town,Barnstable,Representative town meeting,32517,54.4 sq mi ,140.90 km2),,1686
97,Fitchburg,City,Worcester,Mayor-Council,41946,28.1 sq mi ,72.78 km2),,1764
98,Florida,Town,Berkshire,Open town meeting,694,24.6 sq mi ,63.71 km2),,1805
99,Foxborough,Town,Norfolk,Open town meeting,18618,20.9 sq mi ,54.13 km2),,1778
100,Framingham,City,Middlesex,Mayor-Council,72362,26.5 sq mi ,68.63 km2),,1700
101,Franklin,City[a],Norfolk,Administrator-Council,33261,27.0 sq mi ,69.93 km2),,1778
102,Freetown,Town,Bristol,Open town meeting,9206,38.3 sq mi ,99.20 km2),,1683
103,Gardner,City,Worcester,Mayor-Council,21287,23.0 sq mi ,59.57 km2),,1785
104,Georgetown,Town,Essex,Open town meeting,8470,13.2 sq mi ,34.19 km2),,1838
105,Gill,Town,Franklin,Open town meeting,1551,14.8 sq mi ,38.33 km2),,1793
106,Gloucester,City,Essex,Mayor-Council,29729,41.5 sq mi ,107.48 km2),,1623
107,Goshen,Town,Hampshire,Open town meeting,970,17.7 sq mi ,45.84 km2),,1781
108,Gosnold,Town,Dukes,Open town meeting,70,140.2 sq mi ,363.12 km2),,1864
109,Grafton,Town,Worcester,Open town meeting,19664,23.3 sq mi ,60.35 km2),,1735
110,Granby,Town,Hampshire,Open town meeting,6110,28.1 sq mi ,72.78 km2),,1768
111,Granville,Town,Hampden,Open town meeting,1538,43.0 sq mi ,111.37 km2),,1775
112,Great Barrington,Town,Berkshire,Open town meeting,7172,45.8 sq mi ,118.62 km2),,1761
113,Greenfield,City[a],Franklin (seat),Mayor-Council,17768,21.9 sq mi ,56.72 km2),,1775
114,Groton,Town,Middlesex,Open town meeting,11315,33.7 sq mi ,87.28 km2),,1655
115,Groveland,Town,Essex,Open town meeting,6752,9.4 sq mi ,24.35 km2),,1850
116,Hadley,Town,Hampshire,Open town meeting,5325,24.6 sq mi ,63.71 km2),,1661
117,Halifax,Town,Plymouth,Open town meeting,7749,17.3 sq mi ,44.81 km2),,1734
118,Hamilton,Town,Essex,Open town meeting,7561,14.9 sq mi ,38.59 km2),,1793
119,Hampden,Town,Hampden,Open town meeting,4966,19.7 sq mi ,51.02 km2),,1878
120,Hancock,Town,Berkshire,Open town meeting,757,35.8 sq mi ,92.72 km2),,1776
121,Hanover,Town,Plymouth,Open town meeting,14833,15.7 sq mi ,40.66 km2),,1727
122,Hanson,Town,Plymouth,Open town meeting,10639,15.7 sq mi ,40.66 km2),,1820
123,Hardwick,Town,Worcester,Open town meeting,2667,40.8 sq mi ,105.67 km2),,1739
124,Harvard,Town,Worcester,Open town meeting,6851,27.0 sq mi ,69.93 km2),,1732
125,Harwich,Town,Barnstable,Open town meeting,13440,33.1 sq mi ,85.73 km2),,1694
126,Hatfield,Town,Hampshire,Open town meeting,3352,16.8 sq mi ,43.51 km2),,1670
127,Haverhill,City,Essex,Mayor-Council,67787,35.7 sq mi ,92.46 km2),,1641
128,Hawley,Town,Franklin,Open town meeting,353,30.9 sq mi ,80.03 km2),,1792
129,Heath,Town,Franklin,Open town meeting,723,24.9 sq mi ,64.49 km2),,1785
130,Hingham,Town,Plymouth,Open town meeting,24284,26.3 sq mi ,68.12 km2),,1635
131,Hinsdale,Town,Berkshire,Open town meeting,1919,21.7 sq mi ,56.20 km2),,1804
132,Holbrook,Town,Norfolk,Representative town meeting,11405,7.4 sq mi ,19.17 km2),,1872
133,Holden,Town,Worcester,Open town meeting,19905,36.2 sq mi ,93.76 km2),,1741
134,Holland,Town,Hampden,Open town meeting,2603,13.1 sq mi ,33.93 km2),,1835
135,Holliston,Town,Middlesex,Open town meeting,14996,19.0 sq mi ,49.21 km2),,1724
136,Holyoke,City,Hampden,Mayor-Council,38238,22.8 sq mi ,59.05 km2),,1850
137,Hopedale,Town,Worcester,Open town meeting,6017,5.3 sq mi ,13.73 km2),,1886
138,Hopkinton,Town,Middlesex,Open town meeting,18758,28.2 sq mi ,73.04 km2),,1715
139,Hubbardston,Town,Worcester,Open town meeting,4328,42.0 sq mi ,108.78 km2),,1775
140,Hudson,Town,Middlesex,Open town meeting,20092,11.8 sq mi ,30.56 km2),,1866
141,Hull,Town,Plymouth,Open town meeting,10072,26.9 sq mi ,69.67 km2),,1644
142,Huntington,Town,Hampshire,Open town meeting,2094,26.8 sq mi ,69.41 km2),,1775
