,Municipality,Type[1],County[2],Form of government[1],Population (2020)[2],Total area,,,Year established[3]
292,Taunton,City,Bristol (seat),Mayor-Council,59408,48.4 sq mi ,125.36 km2),,1639
293,Templeton,Town,Worcester,Open town meeting,8149,32.4 sq mi ,83.92 km2),,1762
294,Tewksbury,Town,Middlesex,Open town meeting,31342,21.1 sq mi ,54.65 km2),,1734
295,Tisbury,Town,Dukes,Open town meeting,4815,19.1 sq mi ,49.47 km2),,1671
296,Tolland,Town,Hampden,Open town meeting,471,32.8 sq mi ,84.95 km2),,1810
297,Topsfield,Town,Essex,Open town meeting,6569,12.8 sq mi ,33.15 km2),,1650
298,Townsend,Town,Middlesex,Open town meeting,9127,33.1 sq mi ,85.73 km2),,1732
299,Truro,Town,Barnstable,Open town meeting,2454,26.3 sq mi ,68.12 km2),,1709
300,Tyngsborough,Town,Middlesex,Open town meeting,12380,18.1 sq mi ,46.88 km2),,1809
301,Tyringham,Town,Berkshire,Open town meeting,427,18.9 sq mi ,48.95 km2),,1762
302,Upton,Town,Worcester,Open town meeting,8000,21.7 sq mi ,56.20 km2),,1735
303,Uxbridge,Town,Worcester,Open town meeting,14162,30.4 sq mi ,78.74 km2),,1727
304,Wakefield,Town,Middlesex,Open town meeting,27090,7.9 sq mi ,20.46 km2),,1812
305,Wales,Town,Hampden,Open town meeting,1832,15.9 sq mi ,41.18 km2),,1762
306,Walpole,Town,Norfolk,Representative town meeting,26383,21.0 sq mi ,54.39 km2),,1724
307,Waltham,City,Middlesex,Mayor-Council,65218,13.8 sq mi ,35.74 km2),,1738
308,Ware,Town,Hampshire,Open town meeting,10066,40.0 sq mi ,103.60 km2),,1775
309,Wareham,Town,Plymouth,Open town meeting,23303,46.3 sq mi ,119.92 km2),,1739
310,Warren,Town,Worcester,Open town meeting,4975,27.6 sq mi ,71.48 km2),,1742
311,Warwick,Town,Franklin,Open town meeting,780,37.6 sq mi ,97.38 km2),,1763
312,Washington,Town,Berkshire,Open town meeting,494,38.8 sq mi ,100.49 km2),,1777
313,Watertown,City[8],Middlesex,Manager-Council,35329,4.1 sq mi ,10.62 km2),,1630
314,Wayland,Town,Middlesex,Open town meeting,13943,15.9 sq mi ,41.18 km2),,1780
315,Webster,Town,Worcester,Open town meeting,17776,14.5 sq mi ,37.55 km2),,1832
316,Wellesley,Town,Norfolk,Representative town meeting,29550,10.5 sq mi ,27.19 km2),,1881
317,Wellfleet,Town,Barnstable,Open town meeting,3566,35.4 sq mi ,91.69 km2),,1775
318,Wendell,Town,Franklin,Open town meeting,924,32.2 sq mi ,83.40 km2),,1781
319,Wenham,Town,Essex,Open town meeting,4979,8.1 sq mi ,20.98 km2),,1643
320,West Boylston,Town,Worcester,Open town meeting,7877,13.8 sq mi ,35.74 km2),,1808
321,West Bridgewater,Town,Plymouth,Open town meeting,7707,15.7 sq mi ,40.66 km2),,1822
322,West Brookfield,Town,Worcester,Open town meeting,3833,21.1 sq mi ,54.65 km2),,1848
323,West Newbury,Town,Essex,Open town meeting,4500,14.7 sq mi ,38.07 km2),,1819
324,West Springfield,City[a],Hampden,Mayor-Council,28835,17.5 sq mi ,45.32 km2),,1774
325,West Stockbridge,Town,Berkshire,Open town meeting,1343,18.7 sq mi ,48.43 km2),,1775
326,West Tisbury,Town,Dukes,Open town meeting,3555,41.8 sq mi ,108.26 km2),,1892
327,Westborough,Town,Worcester,Open town meeting,21567,21.6 sq mi ,55.94 km2),,1717
328,Westfield,City,Hampden,Mayor-Council,40834,47.3 sq mi ,122.51 km2),,1669
329,Westford,Town,Middlesex,Open town meeting,24643,31.3 sq mi ,81.07 km2),,1729
330,Westhampton,Town,Hampshire,Open town meeting,1622,27.4 sq mi ,70.97 km2),,1778
331,Westminster,Town,Worcester,Open town meeting,8213,37.3 sq mi ,96.61 km2),,1770
332,Weston,Town,Middlesex,Open town meeting,11851,17.3 sq mi ,44.81 km2),,1713
333,Westport,Town,Bristol,Open town meeting,16339,64.4 sq mi ,166.80 km2),,1787
334,Westwood,Town,Norfolk,Open town meeting,16266,11.1 sq mi ,28.75 km2),,1897
335,Weymouth,City[a],Norfolk,Mayor-Council,57437,21.6 sq mi ,55.94 km2),,1635
336,Whately,Town,Franklin,Open town meeting,1607,20.7 sq mi ,53.61 km2),,1771
337,Whitman,Town,Plymouth,Open town meeting,15121,7.1 sq mi ,18.39 km2),,1875
338,Wilbraham,Town,Hampden,Open town meeting,14613,22.4 sq mi ,58.02 km2),,1763
339,Williamsburg,Town,Hampshire,Open town meeting,2504,25.7 sq mi ,66.56 km2),,1775
340,Williamstown,Town,Berkshire,Open town meeting,7513,46.9 sq mi ,121.47 km2),,1765
341,Wilmington,Town,Middlesex,Open town meeting,23349,17.2 sq mi ,44.55 km2),,1730
342,Winchendon,Town,Worcester,Open town meeting,10364,44.1 sq mi ,114.22 km2),,1764
343,Winchester,Town,Middlesex,Representative town meeting,22970,6.3 sq mi ,16.32 km2),,1850
344,Windsor,Town,Berkshire,Open town meeting,831,35.2 sq mi ,91.17 km2),,1771
345,Winthrop,City[a],Suffolk,Manager-Council,19316,8.3 sq mi ,21.50 km2),,1852
346,Woburn,City,Middlesex,Mayor-Council,40876,12.9 sq mi ,33.41 km2),,1642
347,Worcester,City,Worcester (seat),Mayor-Manager-Council,206518,38.5 sq mi ,99.71 km2),,1684
348,Worthington,Town,Hampshire,Open town meeting,1193,32.1 sq mi ,83.14 km2),,1768
349,Wrentham,Town,Norfolk,Open town meeting,12178,22.9 sq mi ,59.31 km2),,1673
350,Yarmouth,Town,Barnstable,Open town meeting,25023,28.2 sq mi ,73.04 km2),,1639,Municipality,Type,County,Per Capita Income,Median Household Income,Median Family Income,Households,Population
1,Abington,Town,Plymouth,"$45,174.00 ","$113,155.00 ","$138,555.00 ",6083,16974
2,Acton,Town,Middlesex,"$81,270.00 ","$169,335.00 ","$213,214.00 ",8931,23899
3,Acushnet,Town,Bristol,"$39,457.00 ","$78,362.00 ","$101,349.00 ",4091,10520
4,Adams,Town,Berkshire,"$34,017.00 ","$49,691.00 ","$77,734.00 ",3948,8161
5,Agawam,City,Hampden,"$42,754.00 ","$78,619.00 ","$104,743.00 ",11785,28715
6,Amesbury,Town,Essex,"$48,390.00 ","$87,433.00 ","$115,414.00 ",7326,17286
7,Amherst,City,Hampshire,"$26,341.00 ","$61,127.00 ","$122,025.00 ",9328,39416
8,Andover,Town,Essex,"$83,300.00 ","$193,279.00 ","$237,434.00 ",13235,36323
9,Arlington,Town,Middlesex,"$69,007.00 ","$125,701.00 ","$162,536.00 ",11308,46045
10,Ashburnham,Town,Worcester,"$43,610.00 ","$104,074.00 ","$113,309.00 ",2130,6315
11,Ashby,Town,Middlesex,"$47,086.00 ","$95,536.00 ","$105,742.00 ",1297,3189
12,Ashfield,Town,Franklin,"$46,327.00 ","$72,944.00 ","$93,889.00 ",819,1710
13,Ashland,Town,Middlesex,"$59,092.00 ","$115,959.00 ","$146,923.00 ",7587,18646
14,Athol,Town,Worcester,"$28,626.00 ","$58,275.00 ","$71,414.00 ",4734,11922
15,Attleboro,City,Bristol,"$38,942.00 ","$81,627.00 ","$99,010.00 ",17918,46146
16,Auburn,Town,Worcester,"$62,772.00 ","$101,402.00 ","$126,886.00 ",16027,6595
17,Avon,Town,Norfolk,"$41,432.00 ","$127,953.00 ","$128,750.00 ",1653,4740
18,Ayer,Town,Middlesex,"$51,578.00 ","$101,688.00 ","$136,396.00 ",3694,8396
19,Barnstable,City,Barnstable,"$46,996.00 ","$82,816.00 ","$105,750.00 ",30765,48556
20,Barre,Town,Worcester,"$38,041.00 ","$92,206.00 ","$108,832.00 ",1918,5531
21,Becket,Town,Berkshire,"$42,134.00 ","$60,833.00 ","$81,563.00 ",974,2152
22,Bedford,Town,Middlesex,"$75,343.00 ","$140,647.00 ","$193,578.00 ",5540,14287
23,Belchertown,Town,Hampshire,"$43,421.00 ","$101,109.00 ","$117,121.00 ",5888,15228
24,Bellingham,Town,Norfolk,"$44,845.00 ","$109,042.00 ","$122,554.00 ",6250,16934
25,Belmont,Town,Middlesex,"$81,383.00 ","$151,502.00 ","$185,551.00 ",10393,27056
26,Berkley,Town,Bristol,"$43,686.00 ","$110,518.00 ","$114,363.00 ",2294,6724
27,Berlin,Town,Worcester,"$55,248.00 ","$106,908.00 ","$121,182.00 ",1311,3326
28,Bernardston,Town,Franklin,"$35,461.00 ","$70,750.00 ","$82,292.00 ",838,2081
29,Beverly,City,Essex,"$46,645.00 ","$91,592.00 ","$119,420.00 ",24400,42448
30,Billerica,Town,Middlesex,"$36,846.00 ","$67,292.00 ","$91,667.00 ",21235,42119
31,Blackstone,Town,Worcester,"$43,891.00 ","$89,129.00 ","$122,321.00 ",3874,9188
32,Blandford,Town,Hampden,"$42,569.00 ","$79,263.00 ","$104,583.00 ",473,1066
33,Bolton,Town,Worcester,"$66,748.00 ","$167,132.00 ","$191,434.00 ",1853,5606
34,Boston,City,Suffolk,"$50,344.00 ","$81,744.00 ","$95,750.00 ",271950,672814
35,Bourne,Town,Barnstable,"$47,950.00 ","$82,119.00 ","$99,913.00 ",8525,20364
36,Boxborough,Town,Middlesex,"$66,081.00 ","$172,022.00 ","$197,784.00 ",2567,5471
37,Boxford,Town,Essex,"$83,766.00 ","$187,813.00 ","$195,515.00 ",2867,8188
38,Boylston,Town,Worcester,"$46,340.00 ","$70,864.00 ","$96,672.00 ",3989,4810
39,Braintree,City,Norfolk,"$37,342.00 ","$64,305.00 ","$90,318.00 ",14384,38712
40,Brewster,Town,Barnstable,"$50,551.00 ","$88,110.00 ","$114,088.00 ",4605,10282
41,Bridgewater,City,Plymouth,"$41,188.00 ","$107,757.00 ","$125,011.00 ",8690,28337
42,Brimfield,Town,Hampden,"$50,533.00 ","$89,882.00 ","$121,681.00 ",717,3448
43,Brockton,City,Plymouth,"$30,508.00 ","$68,067.00 ","$79,124.00 ",35092,104216
44,Brookfield,Town,Worcester,"$39,401.00 ","$75,329.00 ","$115,592.00 ",1395,3435
45,Brookline,Town,Norfolk,"$83,318.00 ","$122,356.00 ","$195,101.00 ",26762,62620
46,Buckland,Town,Franklin,"$32,279.00 ","$66,681.00 ","$78,542.00 ",886,2083
47,Burlington,Town,Middlesex,"$53,430.00 ","$123,630.00 ","$142,403.00 ",10628,23311
48,Cambridge,City,Middlesex,"$65,494.00 ","$112,565.00 ","$147,492.00 ",47777,116892
49,Canton,Town,Norfolk,"$66,512.00 ","$83,992.00 ","$118,750.00 ",10002,24122
50,Carlisle,Town,Middlesex,"$91,493.00 ","$216,000.00 ","$250,000+",1800,5215
51,Carver,Town,Plymouth,"$38,784.00 ","$77,119.00 ","$90,490.00 ",5666,11641
52,Charlemont,Town,Franklin,"$34,358.00 ","$51,797.00 ","$66,750.00 ",498,1062
53,Charlton,Town,Worcester,"$42,561.00 ","$106,558.00 ","$115,806.00 ",4776,13312
54,Chatham,Town,Barnstable,"$65,443.00 ","$88,750.00 ","$120,239.00 ",3164,6554
55,Chelmsford,Town,Middlesex,"$60,517.00 ","$145,552.00 ","$175,708.00 ",17136,36392
56,Chelsea,City,Suffolk,"$27,627.00 ","$64,782.00 ","$66,175.00 ",13353,40025
57,Cheshire,Town,Berkshire,"$38,249.00 ","$69,069.00 ","$92,981.00 ",1509,3243
58,Chester,Town,Hampden,"$31,462.00 ","$76,283.00 ","$76,797.00 ",517,1400
59,Chesterfield,Town,Hampshire,"$40,202.00 ","$80,156.00 ","$87,955.00 ",460,1087
60,Chicopee,City,Hampden,"$31,086.00 ","$56,509.00 ","$68,460.00 ",23852,55636
61,Clarksburg,Town,Berkshire,"$45,087.00 ","$105,313.00 ","$118,623.00 ",729,1750
62,Clinton,Town,Worcester,"$40,857.00 ","$84,938.00 ","$99,313.00 ",6455,15221
63,Cohasset,Town,Norfolk,"$94,437.00 ","$156,689.00 ","$250,000+",3146,8295
64,Colrain,Town,Franklin,"$34,785.00 ","$63,750.00 ","$75,958.00 ",726,1693
65,Concord,Town,Middlesex,"$87,603.00 ","$70,000.00 ","$118,750.00 ",6722,18424
66,Conway,Town,Franklin,"$52,711.00 ","$97,956.00 ","$120,123.00 ",1813,3395
67,Cummington,Town,Hampshire,"$35,900.00 ","$76,300.00 ","$105,156.00 ",408,975
68,Dalton,Town,Berkshire,"$44,825.00 ","$72,664.00 ","$96,184.00 ",2907,6356
69,Danvers,Town,Essex,"$49,862.00 ","$105,654.00 ","$122,147.00 ",10964,27966
70,Dartmouth,Town,Bristol,"$41,307.00 ","$95,404.00 ","$114,492.00 ",11863,34054
71,Dedham,Town,Norfolk,"$57,489.00 ","$108,047.00 ","$149,467.00 ",10458,25308
72,Deerfield,Town,Franklin,"$48,762.00 ","$90,638.00 ","$99,910.00 ",2237,5090
73,Dennis,Town,Barnstable,"$60,789.00 ","$127,833.00 ","$138,500.00 ",6989,14664
74,Dighton,Town,Bristol,"$42,511.00 ","$100,307.00 ","$111,039.00 ",2943,8003
75,Douglas,Town,Worcester,"$51,373.00 ","$135,250.00 ","$147,692.00 ",3133,8975
76,Dover,Town,Norfolk,"$133,500.00 ","$250,000+","$250,000+",1916,5894
77,Dracut,Town,Middlesex,"$42,008.00 ","$95,229.00 ","$113,068.00 ",12370,32356
78,Dudley,Town,Worcester,"$31,664.00 ","$75,465.00 ","$106,940.00 ",4199,11890
79,Dunstable,Town,Middlesex,"$60,517.00 ","$145,552.00 ","$175,708.00 ",1136,3369
80,Duxbury,Town,Plymouth,"$75,630.00 ","$117,035.00 ","$173,500.00 ",6873,16004
81,East Bridgewater,Town,Plymouth,"$49,445.00 ","$110,842.00 ","$128,039.00 ",4949,14393
82,East Brookfield,Town,Worcester,"$38,292.00 ","$70,660.00 ","$78,438.00 ",835,2040
83,East Longmeadow,Town,Hampden,"$45,658.00 ","$95,248.00 ","$122,917.00 ",6011,16386
84,Eastham,Town,Barnstable,"$60,444.00 ","$118,185.00 ","$162,177.00 ",2525,5674
85,Easthampton,City,Hampshire,"$40,087.00 ","$63,098.00 ","$81,789.00 ",7796,16120
86,Easton,Town,Bristol,"$53,994.00 ","$112,116.00 ","$148,924.00 ",8993,24962
87,Edgartown,Town,Middlesex,"$55,001.00 ","$105,541.00 ","$148,162.00 ",9758,23077
88,Egremont,Town,Berkshire,"$51,154.00 ","$79,946.00 ","$102,308.00 ",591,1521
89,Erving,Town,Franklin,"$32,207.00 ","$66,319.00 ","$93,274.00 ",681,1697
90,Essex,Town,Essex,"$53,186.00 ","$116,027.00 ","$125,662.00 ",1343,3674
91,Everett,City,Middlesex,"$31,599.00 ","$71,510.00 ","$74,657.00 ",17007,48368
92,Fairhaven,Town,Bristol,"$60,851.00 ","$155,482.00 ","$163,750.00 ",6862,15911
93,Fall River,City,Bristol,"$28,561.00 ","$49,613.00 ","$60,181.00 ",40862,93339
94,Falmouth,Town,Middlesex,"$57,906.00 ","$110,372.00 ","$142,171.00 ",18943,32526
95,Fitchburg,City,Worcester,"$30,300.00 ","$60,466.00 ","$74,731.00 ",16398,41796
96,Florida,Town,Berkshire,"$34,545.00 ","$74,333.00 ","$87,813.00 ",318,783
97,Foxborough,Town,Norfolk,"$57,552.00 ","$95,410.00 ","$127,679.00 ",7289,18431
98,Framingham,City,Middlesex,"$39,507.00 ","$87,137.00 ","$103,394.00 ",27604,72362
99,Franklin,Town,Norfolk,"$55,509.00 ","$127,608.00 ","$160,000.00 ",12118,33057
100,Freetown,Town,Bristol,"$44,663.00 ","$109,821.00 ","$121,779.00 ",3369,9165
101,Gardner,City,Worcester,"$30,506.00 ","$52,770.00 ","$64,699.00 ",8841,21183
102,Georgetown,Town,Essex,"$55,782.00 ","$129,153.00 ","$144,467.00 ",3223,8461
103,Gill,Town,Franklin,"$45,190.00 ","$82,278.00 ","$102,995.00 ",1328,1708
104,Gloucester,City,Essex,"$57,613.00 ","$140,192.00 ","$149,911.00 ",13168,29814
105,Goshen,Town,Hampshire,"$42,984.00 ","$95,000.00 ","$107,813.00 ",372,870
106,Grafton,Town,Worcester,"$52,350.00 ","$107,237.00 ","$134,459.00 ",7468,19540
107,Granby,Town,Hampshire,"$48,725.00 ","$106,821.00 ","$125,686.00 ",2530,6110
108,Granville,Town,Hampden,"$41,652.00 ","$89,875.00 ","$105,313.00 ",657,1658
109,Great Barrington,Town,Berkshire,"$41,587.00 ","$65,192.00 ","$88,342.00 ",3096,7169
110,Greenfield,City,Franklin,"$32,167.00 ","$52,211.00 ","$69,476.00 ",8100,17661
111,Groton,Town,Middlesex,"$72,451.00 ","$155,252.00 ","$192,593.00 ",3235,11254
112,Groveland,Town,Essex,"$50,812.00 ","$121,711.00 ","$139,074.00 ",2532,6739
113,Hadley,Town,Hampshire,"$50,856.00 ","$101,458.00 ","$124,856.00 ",2254,5293
114,Halifax,Town,Plymouth,"$42,742.00 ","$98,264.00 ","$107,306.00 ",2930,7737
115,Hamilton,Town,Essex,"$50,599.00 ","$116,699.00 ","$135,488.00 ",2567,7617
116,Hampden,Town,Hampden,"$44,474.00 ","$99,400.00 ","$109,740.00 ",2016,4991
117,Hancock,Town,Berkshire,"$37,505.00 ","$74,167.00 ","$102,969.00 ",296,749
118,Hanover,Town,Plymouth,"$59,268.00 ","$149,048.00 ","$165,064.00 ",4744,14742
119,Hanson,Town,Plymouth,"$51,071.00 ","$112,315.00 ","$128,464.00 ",3920,10601
120,Hardwick,Town,Worcester,"$34,931.00 ","$71,429.00 ","$103,152.00 ",1028,2713
121,Harwich,Town,Barnstable,"$60,260.00 ","$124,755.00 ","$148,558.00 ",5733,13329
122,Hatfield,Town,Hampshire,"$42,739.00 ","$76,688.00 ","$102,025.00 ",1490,3315
123,Haverhill,City,Essex,"$44,056.00 ","$83,570.00 ","$106,692.00 ",22808,67093
124,Hawley,Town,Franklin,"$46,608.00 ","$70,625.00 ","$88,750.00 ",139,379
125,Heath,Town,Franklin,"$42,410.00 ","$97,704.00 ","$84,688.00 ",314,728
126,Hingham,Town,Plymouth,"$91,263.00 ","$154,300.00 ","$222,016.00 ",9252,24061
127,Hinsdale,Town,Berkshire,"$32,877.00 ","$65,911.00 ","$83,320.00 ",779,1866
128,Holbrook,Town,Norfolk,"$41,324.00 ","$89,763.00 ","$115,168.00 ",4712,11344
129,Holden,Town,Worcester,"$50,674.00 ","$124,638.00 ","$143,611.00 ",7180,19659
130,Holland,Town,Hampden,"$48,470.00 ","$90,638.00 ","$110,761.00 ",968,2591
131,Holliston,Town,Middlesex,"$66,563.00 ","$142,348.00 ","$166,912.00 ",5485,14891
132,Holyoke,City,Hampden,"$25,744.00 ","$45,045.00 ","$54,321.00 ",15062,38480
133,Hopedale,Town,Worcester,"$46,266.00 ","$113,300.00 ","$121,136.00 ",2116,6012
134,Hopkinton,Town,Middlesex,"$85,400.00 ","$179,192.00 ","$221,683.00 ",6556,18501
135,Hubbardston,Town,Worcester,"$41,663.00 ","$105,938.00 ","$120,000.00 ",1586,4338
136,Hudson,Town,Middlesex,"$48,829.00 ","$94,191.00 ","$129,472.00 ",8035,20032
137,Hull,Town,Plymouth,"$63,148.00 ","$117,120.00 ","$143,603.00 ",4380,10120
138,Huntington,Town,Hampshire,"$34,276.00 ","$68,542.00 ","$90,446.00 ",911,2205
139,Ipswich,Town,Essex,"$66,285.00 ","$111,701.00 ","$144,861.00 ",5573,13740
140,Kingston,Town,Plymouth,"$48,940.00 ","$103,945.00 ","$133,281.00 ",5321,13618
141,Lakeville,Town,Plymouth,"$47,341.00 ","$112,240.00 ","$126,250.00 ",4162,11514
142,Lancaster,Town,Worcester,"$40,875.00 ","$109,963.00 ","$119,321.00 ",2818,8428
143,Lanesborough,Town,Berkshire,"$41,710.00 ","$75,156.00 ","$84,531.00 ",1368,3043
144,Lawrence,City,Essex,"$23,316.00 ","$47,542.00 ","$52,283.00 ",30291,87798
145,Lee,Town,Berkshire,"$39,400.00 ","$73,750.00 ","$104,091.00 ",2306,5784
146,Leicester,Town,Worcester,"$37,653.00 ","$83,015.00 ","$104,744.00 ",3924,11077
147,Lenox,Town,Berkshire,"$47,510.00 ","$71,117.00 ","$97,969.00 ",2211,5089
148,Leominster,City,Worcester,"$34,523.00 ","$84,120.00 ","$100,343.00 ",17896,43478
149,Leverett,Town,Franklin,"$55,346.00 ","$97,188.00 ","$103,375.00 ",708,1794
150,Lexington,Town,Middlesex,"$96,170.00 ","$202,852.00 ","$235,039.00 ",12301,34235
151,Leyden,Town,Franklin,"$47,244.00 ","$97,625.00 ","$101,705.00 ",259,651
152,Lincoln,Town,Middlesex,"$92,567.00 ","$145,833.00 ","$169,574.00 ",2566,6941
153,Littleton,Town,Middlesex,"$75,401.00 ","$129,132.00 ","$174,779.00 ",6283,12483
154,Longmeadow,Town,Hampden,"$74,126.00 ","$148,010.00 ","$173,250.00 ",5662,15863
155,Lowell,City,Middlesex,"$36,534.00 ","$75,130.00 ","$89,761.00 ",42285,114804
156,Ludlow,Town,Hampden,"$49,193.00 ","$103,498.00 ","$129,170.00 ",8567,21050
157,Lunenburg,Town,Worcester,"$45,145.00 ","$101,205.00 ","$113,596.00 ",4432,11627
158,Lynn,City,Essex,"$29,541.00 ","$63,922.00 ","$75,627.00 ",36280,100233
159,Lynnfield,Town,Essex,"$67,303.00 ","$147,237.00 ","$167,700.00 ",4536,12874
160,Malden,City,Middlesex,"$30,620.00 ","$64,489.00 ","$77,946.00 ",32285,65602
161,Mansfield,Town,Bristol,"$55,451.00 ","$122,274.00 ","$143,500.00 ",8707,23768
162,Marblehead,Town,Essex,"$81,072.00 ","$154,049.00 ","$193,086.00 ",8075,20397
163,Marion,Town,Plymouth,"$73,957.00 ","$99,456.00 ","$143,202.00 ",1632,5293
164,Marlborough,City,Middlesex,"$44,775.00 ","$86,230.00 ","$108,694.00 ",17147,41505
165,Marshfield,Town,Plymouth,"$52,025.00 ","$109,841.00 ","$136,099.00 ",10094,25793
166,Mashpee,Town,Barnstable,"$48,569.00 ","$83,563.00 ","$113,231.00 ",6603,14996
167,Maynard,Town,Middlesex,"$55,372.00 ","$112,432.00 ","$147,701.00 ",4269,10702
168,Medfield,Town,Norfolk,"$88,348.00 ","$196,820.00 ","$229,076.00 ",4373,12775
169,Medford,City,Middlesex,"$39,485.00 ","$94,298.00 ","$125,828.00 ",28321,60708
170,Medway,Town,Norfolk,"$66,559.00 ","$147,257.00 ","$164,737.00 ",4681,13105
171,Melrose,City,Middlesex,"$44,361.00 ","$100,337.00 ","$115,069.00 ",15621,29567
172,Mendon,Town,Worcester,"$51,840.00 ","$133,850.00 ","$156,676.00 ",2076,6212
173,Merrimac,Town,Essex,"$43,144.00 ","$88,832.00 ","$116,908.00 ",2589,6698
174,Methuen,City,Essex,"$42,944.00 ","$72,884.00 ","$90,663.00 ",18803,52536
175,Middleborough,Town,Plymouth,"$43,754.00 ","$81,809.00 ","$92,684.00 ",9727,24219
176,Middlefield,Town,Hampshire,"$46,890.00 ","$73,636.00 ","$78,958.00 ",164,342
177,Middleton,Town,Essex,"$59,179.00 ","$140,511.00 ","$159,509.00 ",3122,9726
178,Milford,Town,Worcester,"$41,540.00 ","$89,332.00 ","$103,785.00 ",11446,30134
179,Millbury,Town,Worcester,"$50,498.00 ","$95,184.00 ","$115,398.00 ",6292,16245
180,Millis,Town,Norfolk,"$55,899.00 ","$131,138.00 ","$143,050.00 ",3078,8481
181,Millville,Town,Worcester,"$44,560.00 ","$82,131.00 ","$104,500.00 ",1275,3166
182,Milton,Town,Norfolk,"$66,359.00 ","$115,807.00 ","$157,660.00 ",8781,28382
183,Monson,Town,Hampden,"$41,590.00 ","$72,305.00 ","$90,302.00 ",3422,8210
184,Montague,Town,Franklin,"$33,442.00 ","$65,925.00 ","$88,706.00 ",3765,8565
185,Montgomery,Town,Hampden,"$52,281.00 ","$104,500.00 ","$122,813.00 ",366,898
186,Mount Washington,Town,Berkshire,"$45,724.00 ","$92,917.00 ","$94,167.00 ",77,161
187,Nahant,Town,Essex,"$62,128.00 ","$161,076.00 ","$172,515.00 ",1515,3334
188,Nantucket,Town,Nantucket,"$77,003.00 ","$116,406.00 ","$181,484.00 ",4031,13795
189,Natick,Town,Middlesex,"$67,267.00 ","$122,914.00 ","$159,380.00 ",10243,36627
190,Needham,Town,Norfolk,"$87,067.00 ","$182,813.00 ","$225,747.00 ",11260,31808
191,New Ashford,Town,Berkshire,"$43,074.00 ","$68,500.00 ","$83,750.00 ",90,223
192,New Bedford,City,Bristol,"$27,583.00 ","$50,581.00 ","$62,189.00 ",41395,100309
193,New Braintree,Town,Worcester,"$42,015.00 ","$86,667.00 ","$98,750.00 ",430,1052
194,New Marlborough,Town,Berkshire,"$45,768.00 ","$73,571.00 ","$109,167.00 ",652,1573
195,New Salem,Town,Franklin,"$36,675.00 ","$71,221.00 ","$72,500.00 ",452,1072
196,Newbury,Town,Essex,"$71,508.00 ","$152,356.00 ","$160,268.00 ",2533,6745
197,Newburyport,City,Essex,"$61,696.00 ","$153,971.00 ","$189,419.00 ",7537,18282
198,Newton,City,Middlesex,"$81,020.00 ","$164,607.00 ","$201,924.00 ",21038,88647
199,Norfolk,Town,Norfolk,"$52,240.00 ","$168,281.00 ","$179,354.00 ",2967,11531
200,North Adams,City,Berkshire,"$31,428.00 ","$48,575.00 ","$65,903.00 ",5540,13024
201,North Andover,Town,Essex,"$71,327.00 ","$94,375.00 ","$111,667.00 ",628,1468
202,North Attleborough,Town,Bristol,"$47,877.00 ","$97,967.00 ","$129,573.00 ",12273,30557
203,North Brookfield,Town,Worcester,"$38,700.00 ","$77,313.00 ","$88,869.00 ",1883,4757
204,North Reading,Town,Middlesex,"$61,653.00 ","$124,196.00 ","$127,358.00 ",5848,15549
205,Northampton,City,Hampshire,"$41,663.00 ","$72,687.00 ","$105,741.00 ",11949,29379
206,Northborough,Town,Worcester,"$62,946.00 ","$129,780.00 ","$161,601.00 ",5821,15863
207,Northbridge,Town,Worcester,"$43,333.00 ","$97,206.00 ","$116,343.00 ",6364,16291
208,Northfield,Town,Franklin,"$41,106.00 ","$83,750.00 ","$89,483.00 ",1213,2899
209,Norton,Town,Bristol,"$45,590.00 ","$109,375.00 ","$124,310.00 ",6489,19270
210,Norwell,Town,Plymouth,"$68,728.00 ","$136,875.00 ","$207,813.00 ",3180,11258
211,Norwood,Town,Norfolk,"$54,645.00 ","$96,414.00 ","$120,146.00 ",13002,31256
212,Oak Bluffs,Town,Dukes,"$51,258.00 ","$94,545.00 ","$125,982.00 ",1766,5284
213,Oakham,Town,Worcester,"$39,893.00 ","$85,078.00 ","$89,167.00 ",625,1621
214,Orange,Town,Franklin,"$28,966.00 ","$53,448.00 ","$76,912.00 ",2982,7622
215,Orleans,Town,Barnstable,"$63,651.00 ","$79,250.00 ","$115,409.00 ",2989,6276
216,Otis,Town,Berkshire,"$49,186.00 ","$93,316.00 ","$98,125.00 ",694,1460
217,Oxford,Town,Worcester,"$45,471.00 ","$72,124.00 ","$93,259.00 ",4800,13399
218,Palmer,Town,Hampden,"$35,844.00 ","$70,090.00 ","$81,753.00 ",5207,12434
219,Paxton,Town,Worcester,"$49,419.00 ","$123,958.00 ","$145,469.00 ",1588,5005
220,Peabody,City,Essex,"$36,180.00 ","$55,938.00 ","$70,189.00 ",22208,54200
221,Pelham,Town,Hampshire,"$49,128.00 ","$97,917.00 ","$125,114.00 ",543,1280
222,Pembroke,Town,Plymouth,"$53,499.00 ","$130,015.00 ","$152,776.00 ",6861,18329
223,Pepperell,Town,Middlesex,"$48,499.00 ","$112,043.00 ","$127,468.00 ",4361,11671
224,Peru,Town,Berkshire,"$40,332.00 ","$74,464.00 ","$86,979.00 ",325,744
225,Petersham,Town,Worcester,"$40,275.00 ","$77,500.00 ","$104,306.00 ",458,1141
